Year,State,Metadata
2018,Rhode Island,"Natural Gas Vehicle (NGV) Weight Exemption, A vehicle primarily powered by natural gas may exceed the state's gross
vehicle weight limits by a weight equal to the difference between the
weight of the vehicle with the natural gas tank and fueling system and
the weight of a comparable vehicle with a diesel tank and fueling
system. The NGV maximum gross weight may not exceed 82,000 pounds.

(Reference [Rhode Island General Laws 31-25-2](http://webserver.rilin.state.ri.us/Statutes/)), State Incentives, 8.0, NG, EXEM, FLEET|GOV|IND, http://www.rilegislature.gov/Pages/Default.aspx|http://webserver.rilin.state.ri.us/Statutes/, enacted"
2017,Oklahoma,"Autonomous Vehicles (AVs) Council, The governor established the Aerospace and Autonomous Systems Council
(Council) to review the development of AVs and related technologies,
including research and development, education, economic development, job
creation, and capital investment. The Council will provide
recommendations to the Governor and submit and periodically review
strategic plans.

(Reference [Executive Order 2019-39](https://www.oklahoma.gov/ocast/about-ocast/news/governors-stitt--hutchinson-partner-to-create-super-region-for-a.html)), Laws and Regulations, 67.0, AUTONOMOUS, DREST, OTHER, https://www.sos.ok.gov/gov/execorders.aspx|https://www.oklahoma.gov/ocast/about-ocast/news/governors-stitt--hutchinson-partner-to-create-super-region-for-a.html, enacted"
2018,Ohio,"Autonomous Vehicle (AV) Regulations and Committee, The Ohio Office of the Governor established
[DriveOhio](http://drive.ohio.gov/) to test AVs on state highways and
other public roads. The purpose of the program is to connect
municipalities with industry, education, and community partners to
advance smart mobility solutions. The Ohio Department of Transportation
will appoint an executive director of DriveOhio to oversee activities
and administration. The executive director may establish a DriveOhio
Advisory Board to receive advice and recommendations. The executive
director must submit an [annual
report](https://drive.ohio.gov/wps/wcm/connect/gov/e67ba77c-5576-41f4-99b1-348152e3f279/2023-DriveOhio+AnnualReport_Final_v4_reduced.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_M1HGGIK0N0JO00QO9DDDDM3000-e67ba77c-5576-41f4-99b1-348152e3f279-p58hdf8)
to the governor.

All AVs tested in Ohio must have a designated operator responsible for
the safe operation of the vehicle while in use and compliance with all
traffic laws and regulations, among other requirements. The governor may
pause the testing of AVs in Ohio if there is evidence that the
technology is not safe.

An AV is defined as a vehicle equipped with technology that is capable
of performing all of the real-time operational and tactical functions
required to operate a vehicle. To test AVs, each company must register
with DriveOhio and provide required information, including a summary
report outlining its approach for the safe testing of its autonomous
system.

(Reference [Executive Order 2019-26D, 2019, and 2018-04K, 2018](http://governor.ohio.gov/Media-Room/Executive-Orders)), Laws and Regulations, 52.0, AUTONOMOUS, DREST, OTHER, http://governor.ohio.gov/Media-Room/Executive-Orders|http://governor.ohio.gov/Media-Room/Executive-Orders|http://governor.ohio.gov/Media-Room/Executive-Orders, amended"
2018,Rhode Island,"Low-Speed Vehicle Access to Roadways - City of Newport, A low-speed vehicle may operate on the roadways of the City of Newport
as a commercial jitney service between the hours of 6am and 12am. A
low-speed vehicle may not operate on a street or highway with a posted
speed limit greater than 25 miles per hour (mph), but it may cross a
street or highway with a posted speed limit greater than 35 mph. For the
purpose of this regulation, a low-speed vehicle is defined as a
self-propelled, electric, or gas powered motor vehicle that is designed
to carry no more than eight passengers; is designed to be and is
operated at speeds of not more than 25 mph; and conforms to the maximum
safety equipment requirements and standards specified in Title 49 of the
[U.S. Code of Federal
Regulations](https://www.govinfo.gov/app/collection/cfr), section
571.500.

(Reference [Rhode Island General Laws 31-19.5-1](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 47.0, NEVS, DREST, FLEET|GOV|IND, http://www.rilin.state.ri.us/Pages/Default.aspx|http://webserver.rilin.state.ri.us/Statutes/, enacted"
,Oregon,"Propane License Requirement, Any individual or business doing propane work in Oregon must obtain a
license from the Oregon Office of State Fire Marshal. For additional
information on license types, see the [Liquefied Petroleum
Gas](https://www.oregon.gov/osp/programs/sfm/Pages/Liquefied-Petroleum-Gas.aspx)
website.

(Reference [Oregon Revised Statutes 480.432](https://www.oregonlegislature.gov)), Laws and Regulations, 78.0, LPG, REGIS, STATION, https://www.oregonlegislature.gov"
,Pennsylvania,"Public Utility Definition, A person, corporation, or entity that owns or operates electric vehicle
(EV) charging station that is open to the public is not defined as a
public utility. Each electric distribution company must address
third-party owned and operated EV charging stations in its tariff.

(Reference [Title 52 Pennsylvania Code 69.101 and 69.3501](http://www.pacode.com/)), Laws and Regulations, 45.0, ELEC|PHEV, UTILITY, STATION, http://www.pacode.com/"
,Oklahoma,"Alternative Fuel School Bus and Electric Vehicle (EV) Charger Rebate Program, The Oklahoma Department of Environmental Quality (DEQ) offers rebates
for projects that repower or replace an actively used, engine model year
2009 or older, diesel school bus with a model that operates on
alternative fuel. Eligible alternative fuels and technologies include
all-electric, propane, and natural gas. Applicants may receive rebates
of up to 45% of project costs. Charging infrastructure for electric
buses is eligible for funding, but is subject to a per-charger maximum
and project cap. The program is funded by Oklahoma's portion of the
[Volkswagen Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
Applications must be submitted through Oklahoma's [Clean Diesel
Program](https://www.deq.ok.gov/air-quality-division/clean-diesel-dera/).
For more information, see the DEQ [Alternative Fuel School Bus
Program](https://www.deq.ok.gov/air-quality-division/volkswagen-settlement/alternative-fuel-school-bus-program/)
website.
, State Incentives, 6.0, ELEC|HEV|NG|LPG, RBATE, STATION|MAN|FLEET|GOV"
2018,Pennsylvania,"Connected and Autonomous Vehicle (CAV) Committee and Regulations, The Pennsylvania Department of Transportation (PennDOT) established the
Highly Automated Vehicle Advisory Committee (Committee) to advise and
consult PennDOT on each aspect of connected and automated systems,
including developing technical guidance, evaluating best practices,
reviewing existing laws, regulations and policies, and engaging in
continued research and evaluation of connected and automated systems
technology necessary to ensure safe testing, deployment and continued
innovation in the commonwealth. PennDOT will provide an annual report of
the Committee activities.

A CAV is defined as a vehicle equipped with an automated driving system
or connected by wireless communication or other technology to another
vehicle allow for coordinated or controlled movement. PennDOT and
Pennsylvania Turnpike Commission authorizes the locations to deploy and
test CAVs.

(Reference [Title 75 Pennsylvania Statues Chapter 1, Section 102; and Chapter 85, Section 8501](https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm)), Laws and Regulations, 41.0, AUTONOMOUS, DREST, OTHER, https://www.legis.state.pa.us/cfdocs/legis/home/session.cfm|https://www.legis.state.pa.us/cfdocs/legis/LI/Public/index.cfm, enacted"
1992,Pennsylvania,"Alternative Fuels Incentive Grant (AFIG) Program, The AFIG Program provides financial assistance for innovative, advanced
fuel and vehicle technology projects. Projects that result in product
commercialization and the expansion of Pennsylvania companies are
favored in the selection process. Eligible applicants include school
districts, municipal authorities, political subdivisions, non-profits,
corporations, limited liability companies or partnerships incorporated
or registered in the Commonwealth. Projects must support:

-   Incremental cost expenses relative to retrofitting vehicles to
    operate on alternative fuels;
-   Incremental cost expenses to purchase alternative fuel vehicles;
-   The cost to purchase and install the necessary fleet- or
    home-refueling equipment for alternative fuel vehicles; or,
-   The cost to perform research, training, development and
    demonstration of new applications or next-phase technology related
    to alternative fuel vehicles.

Eligible applicants include school districts, municipal authorities,
political subdivisions, non-profits, corporations, limited liability
companies or partnerships incorporated or registered in the
Commonwealth. Priority will be given to businesses located in
Pennsylvania; zero emission vehicle projects; light- and medium-duty
fleet refueling infrastructure projects; renewable natural gas and
infrastructure projects; projects located in environmental justice
areas; and minority-, veteran-, or woman-owned businesses. For more
information, including forms and detailed requirements and restrictions,
see the [AFIG
Program](https://www.dep.pa.gov/Citizens/GrantsLoansRebates/Alternative-Fuels-Incentive-Grant/Pages/default.aspx)
website.

(Reference [Title 73 Pennsylvania Statutes, Chapter 18E, Section 1647.3](https://www.legis.state.pa.us/cfdocs/legis/LI/Public/cons_index.cfm)), State Incentives, 18.0, AFTMKTCONV|BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG, GNT, STATION|FLEET|GOV, https://www.legis.state.pa.us/cfdocs/legis/LI/Public/cons_index.cfm, amended"
2017,Oregon,"Plug-In Hybrid Electric Vehicle (PHEV) and Zero Emission Vehicle Rebates, The Clean Vehicle Rebate Program provides rebates to Oregon residents,
businesses, non-profit organizations, and government agencies for the
purchase or lease of a new electric vehicle (EV), including a PHEV,
electric motorcycle, or fuel cell electric vehicle (FCEV). EVs and FCEVs
purchased between April 3, 2024, and June 4, 2024, with a battery
capacity greater than 10 kilowatt-hours (kWh), are eligible for a rebate
of \$2,500. EVs and FCEVs with a battery capacity of less than 10 kWh
are eligible for a rebate of \$1,500.

Electric motorcycles are eligible for a rebate of \$750. EVs may not
have an MSRP of more than \$50,000, and eligible FCEVs may not have an
MSRP of more than \$60,000. For more information, see the [Clean Vehicle
Rebate
Program](https://www.oregon.gov/deq/aq/programs/Pages/ZEV-Rebate.aspx)
website.

(Reference [Oregon Revised Statutes 468.442 - 468.444](https://www.oregonlegislature.gov/) and [Temporary Administrative Order DEQ 19-2021](http://records.sos.state.or.us/ORSOSWebDrawer/Recordhtml/8581409)), State Incentives, 10.0, ELEC|HY|PHEV, RBATE, FLEET|GOV|IND, https://www.oregonlegislature.gov|https://olis.oregonlegislature.gov/|https://www.oregonlegislature.gov/|http://records.sos.state.or.us/ORSOSWebDrawer/Recordhtml/8581409, expired"
,Oklahoma,"Electric Vehicle (EV) Charger Grant Program, The Oklahoma Department of Environmental Quality's (DEQ) ChargeOK
program offers grants for public EV chargers. Eligible projects include
direct current fast charging (DCFC) stations located along designated EV
transportation corridors and DCFC or Level 2 EV chargers located at
destination locations or community charging hubs. DEQ will award
competitive grants for up to 80% of eligible project costs. The program
is funded by Oklahoma's portion of the [Volkswagen Environmental
Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, see the DEQ
[ChargeOK](https://www.deq.ok.gov/air-quality-division/volkswagen-settlement/chargeok-oklahoma-electric-vehicle-charging-program/)
website.
, State Incentives, 4.0, ELEC, GNT, STATION"
2019,Pennsylvania,"State Electric Vehicle (EV) Acquisition Requirements, Pennsylvania state agencies must replace 25% of their passenger car
fleets with EVs by 2025 and evaluate fleet utilization for vehicle miles
traveled reductions. Agencies must collectively reduce all energy
consumption by 3% annually, with a 21% reduction from a 2017 baseline by
2025. To meet these goals, the Governor's Green Government Council was
reestablished to work with state agencies to oversee the development and
implementation of procedures to reduce greenhouse gas emissions and
energy usage.

(Reference [Executive Order 2019-01, 2019](https://www.oa.pa.gov/Policies/eo/Pages/default.aspx)), Laws and Regulations, 42.0, ELEC|PHEV, REQ, GOV, https://www.oa.pa.gov/Policies/eo/Pages/default.aspx, enacted"
2019,Oklahoma,"Public Utility Definition, An entity that is not a regulated utility that provides retail electric
vehicle (EV) charging services is not defined as a public utility and
may sell electricity if it is used for the purpose of fueling an EV.

(Reference [Oklahoma Statute 17-160.33](http://www.oklegislature.gov/), [Oklahoma Corporation Commission 165:35-13-1](https://www.rules.ok.gov/code), and [Senate Bill 502, 2023](http://www.oklegislature.gov/)), Laws and Regulations, 87.0, ELEC|PHEV, UTILITY, STATION, http://www.oklegislature.gov/|https://www.rules.ok.gov/code|http://www.occeweb.com/index.html|http://www.oklegislature.gov/, enacted"
2009,South Dakota,"Alternative Fuel Tax, Liquefied natural gas (LNG), ethyl alcohol, and methyl alcohol are taxed
at a rate of \$0.14 per gasoline gallon equivalent (GGE) when used as
motor fuel. Compressed natural gas (CNG) and propane used as motor fuel
are taxed at a rate of \$0.10 per GGE and \$0.20 per GGE, respectively.
For taxation purposes, the fuels are converted to GGEs as follows:

-   One GGE of LNG is equal to 1.5536 volumetric gallons of LNG;
-   One GGE of CNG is equal to 126.67 cubic feet of its natural service
    delivery line pressure;
-   One GGE of propane is equal to 4.24 pounds per gallon of liquid at
    60 degrees Fahrenheit.

(Reference [South Dakota Statutes 10-47B-3 and 10-47B-4](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)), Laws and Regulations, 55.0, ETH|NG|LPG, FUEL, FLEET|IND, http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx, amended"
2019,Ohio,"Electric Vehicle (EV) Registration Fee, EV owners must pay an annual fee in addition to other registration fees.
The fee is \$200 for EVs, \$150 for plug-in hybrid electric vehicles,
and \$100 for hybrid electric vehicles.

(Reference [Ohio Revised Code 4501.01 and 4503.10](https://codes.ohio.gov/ohio-revised-code)), Laws and Regulations, 48.0, ELEC|HEV|PHEV, EVFEE|FUEL, FLEET|IND, https://www.legislature.ohio.gov/|https://codes.ohio.gov/ohio-revised-code|https://ohiohouse.gov/, enacted"
,Tennessee,"Vehicle Emissions Reduction and Electric Vehicle (EV) Charging Station Project Funding, The Tennessee Department of Environment and Conservation (TDEC) provides
funding for the repower or replacement of Class 4-8 school, shuttle and
transit buses, Class 4-7 local freight trucks, and Class 8 local freight
trucks and port drayage trucks, with alternative fuel or all-electric
models. Alternative fuels include, but are not limited to, compressed
natural gas, propane, and hybrid electric technologies. TDEC also
provides funding for light-duty EV charging infrastructure. Private,
public, and non-profit organizations, including state, local, and tribal
governments, are eligible for funding.

In partnership with the Tennessee Valley Authority (TVA), TDEC also
provides funding for the [Fast Charge TN
Network](https://afdc.energy.gov/laws/12986), which supports the
deployment of direct current (DC) fast charging stations. Eligible
applicants include TVA-served Local Power Companies whose service
territory is located along corridors.

The grant programs are funded in part by Tennessee's portion of the
[Volkswagen Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information, including funding availability, see the TDEC
[Project
Solicitations](https://www.tn.gov/environment/program-areas/energy/state-energy-office--seo-/programs-projects/programs-and-projects/sustainable-transportation-and-alternative-fuels/sustainable-transportation-and-alternative-fuels/tennessee-and-the-volkswagen-diesel-settlement1/project-solicitations.html)
and [Fast Charge TN
Network](https://energyright.com/ev/fast-charger-program/tn/) websites.
, State Incentives, 5.0, ELEC|HEV|NG|PHEV|LPG, GNT, STATION|FLEET|GOV|TRIBAL"
2019,Oklahoma,"Autonomous Vehicle (AV) Regulation Authorization, Only the State of Oklahoma may enact a law or take any other action to
regulate the operation of AVs in Oklahoma. An AV is defined as a vehicle
equipped with automated driving system technology that allows vehicle
automation to perform the entire driving task on a sustained basis as
specified in SAE international J3016. A county or municipality may not
prohibit, restrict, or regulate the operation of AVs.

(Reference [Oklahoma Statutes 47-1701 and 47-1702](http://www.oklegislature.gov/)), Laws and Regulations, 65.0, AUTONOMOUS, DREST, GOV, http://www.oklegislature.gov/|http://www.oklegislature.gov/, enacted"
2019,Oregon,"Renewable Natural Gas (RNG) Support, The Oregon Public Utility Commission (PUC) will develop rules for RNG
distribution programs for both small and large utilities. Rules must
include reporting requirement guidelines and a rate recovery costs
process. The PUC must establish rate caps for small natural gas
utilities.

The PUC has established voluntary RNG target distribution goals for
large utilities that participate in the RNG program under the following
schedule:

Calendar Years

Percent RNG

2020-2024

5%

2025-2029

10%

2030-2034

15%

2035-2039

20%

2040-2044

25%

2045-2050

30%

(Reference [Oregon Revised Statutes 757.396](https://www.oregonlegislature.gov/)), Laws and Regulations, 39.0, NG, REQ|OTHER, OTHER, https://www.oregonlegislature.gov/|https://www.oregonlegislature.gov/, enacted"
,Pennsylvania,"Alternative Fuel Infrastructure and Energy Production Grant Program, The Alternative and Clean Energy (ACE) Program provides grants and loans
to eligible applicants for the utilization, development, and
construction of compressed natural gas (CNG) and liquefied natural gas
(LNG) fueling stations. Funds are also available for facilities that
manufacture or produce alternative fuels, including, but not limited to,
ethanol, biodiesel, CNG, and LNG. For more information, see the [ACE
Program](https://dced.pa.gov/programs/alternative-clean-energy-program-ace/)
website.
, State Incentives, 30.0, NG, GNT, STATION|AFP|FLEET|GOV, https://www.legis.state.pa.us/cfdocs/legis/li/uconsCheck.cfm?yr=2008&sessInd=1&act=1"
2019,Oregon,"Diesel Emissions Reductions Registration Requirement, The Oregon Department of Motor Vehicles (ODMV) will phase out
registrations for certain medium-duty (MD) and heavy-duty (HD) trucks
powered by diesel engines in Multnomah, Clackamas, or Washington
Counties unless vehicles have been retrofitted or repowered with
approved technologies. ODMV will no longer issue certificates of titles
on or after the following dates:

::: {align=""center""}
  -----------------------------------------------------------------------
  Date                                      Vehicle and model year
  ----------------------------------- -----------------------------------
  January 1, 2023                     MD and HD trucks powered by a model
                                        year (MY) 1996 or older diesel
                                                    engine

  January 1, 2029                      MD trucks powered by a MY 2009 or
                                              older diesel engine
                                                       
                                        HD truck owned by a public body
                                         powered by a MY 2009 or older
                                                    engine
                                                       
                                      HD truck not owned by a public body
                                         powered by a MY 2006 or older
                                                    engine
  -----------------------------------------------------------------------
:::

The Oregon Department of Transportation must submit an annual report to
the Legislative Assembly on the effects of the titling restrictions of
MD and HD diesel trucks annually by September 15.

(Reference [Administrative Order No. DEQ-11-2021](https://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx) and [Oregon Administrative Rules 340-256-0010 through 340-256-0560](https://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx)), Laws and Regulations, 36.0, AFTMKTCONV|OTHER, REGIS, GOV|IND, https://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx|https://www.oregonlegislature.gov/|https://sos.oregon.gov/archives/Pages/oregon_administrative_rules.aspx, enacted"
2020,Oregon,"State Emissions Reductions and Reporting Requirements, Oregon will pursue transportation electrification as part of greenhouse
gas emissions reduction targets of at least 45% below 1990 levels by
2035, and at least 80% below 1990 levels by 2050. Select state agencies
must report actions to reduce emissions annually. The Oregon Department
of Transportation published a
[report](https://www.oregon.gov/odot/Programs/Documents/23021%20T031%20TEINA%20Report%20August%202022.pdf)
on statewide transportation electrification infrastructure analysis with
updates in August 2022. Additional requirements apply.

(Reference [Executive Order 20-04, 2020](http://www.oregon.gov/gov/admin/pages/executive-orders.aspx)), Laws and Regulations, 105.0, ELEC|HY|PHEV, CCEINIT, OTHER, http://www.oregon.gov/gov/admin/pages/executive-orders.aspx, enacted"
,South Dakota,"Diesel Emission Reduction Grants, The South Dakota Department of Environment and Natural Resources (DENR)
administers the Clean Diesel Grant Program for bus diesel emission
reduction projects. Projects are funded by South Dakota's portion of the
[Volkswagen Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement)
and the U.S. EPA's [Diesel Emission Reduction Act (DERA)
Program](https://www.epa.gov/cleandiesel). For more information,
including how to apply, see the South Dakota DENR [Clean Diesel Grant
Program](https://danr.sd.gov/Environment/AirQuality/CleanDieselProgram/default.aspx)
website.
, State Incentives, 4.0, BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG, GNT, FLEET|GOV"
2019,South Dakota,"Volkswagen (VW) Settlement Allocation, The South Dakota Department of Environment and Natural Resources may use
funds awarded to South Dakota through the [VW Environmental Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement)
to issue grants for the reduction of nitrogen oxide air emissions from
mobile sources in the state. The funds are deposited into a Clean Air
Act Settlement fund.

(Reference [34A-1-63 and 34A-1-64](https://sdlegislature.gov/Statutes/Codified_Laws)), Laws and Regulations, 30.0, BIOD|ETH|ELEC|HEV|IR|NG|PHEV|LPG, AIRQEMISSIONS, OTHER, https://sdlegislature.gov/|https://sdlegislature.gov/Statutes/Codified_Laws, enacted"
2020,Oregon,"Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Deployment Support, California, Colorado, Connecticut, District of Columbia, Hawaii, Maine,
Maryland, Massachusetts, Nevada, New Jersey, New York, North Carolina,
Oregon, Pennsylvania, Rhode Island, Vermont, Virginia, and Washington
(signatory states) signed a [memorandum of
understanding](https://www.nescaum.org/documents/mhdv-zev-mou-20220329.pdf/)
(MOU) to support the deployment of MHD ZEVs through involvement in a
Multi-State ZEV Task Force (Task Force).

In July 2022, the Task Force published a [multi-state action
plan](https://www.nescaum.org/documents/multi-state-medium-and-heavy-duty-zev-action-plan.pdf)
to support electrification of MHD vehicles. The action plan includes
strategies and recommendations to accomplish the goals of the MOU,
including limiting all new MHD vehicle sales in the signatory states to
ZEVs by 2050, accelerating the deployment of MHD ZEVs, and ensuring MHD
ZEV deployment also benefits disadvantaged communities.

For more information, see the [MHD ZEVs: Action Plan Development
Process](https://www-f.nescaum.org/documents/multi-state-medium-and-heavy-duty-zero-emission-vehicle-action-plan/)
website.
, Laws and Regulations, 47.0, ELEC|HY|PHEV, AIRQEMISSIONS, OTHER, enacted"
2020,Pennsylvania,"Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Deployment Support, California, Colorado, Connecticut, District of Columbia, Hawaii, Maine,
Maryland, Massachusetts, Nevada, New Jersey, New York, North Carolina,
Oregon, Pennsylvania, Rhode Island, Vermont, Virginia, and Washington
(signatory states) signed a [memorandum of
understanding](https://www.nescaum.org/documents/mhdv-zev-mou-20220329.pdf/)
(MOU) to support the deployment of MHD ZEVs through involvement in a
Multi-State ZEV Task Force (Task Force).

In July 2022, the Task Force published a [multi-state action
plan](https://www.nescaum.org/documents/multi-state-medium-and-heavy-duty-zev-action-plan.pdf)
to support electrification of MHD vehicles. The action plan includes
strategies and recommendations to accomplish the goals of the MOU,
including limiting all new MHD vehicle sales in the signatory states to
ZEVs by 2050, accelerating the deployment of MHD ZEVs, and ensuring MHD
ZEV deployment also benefits disadvantaged communities.

For more information, see the [MHD ZEVs: Action Plan Development
Process](https://www-f.nescaum.org/documents/multi-state-medium-and-heavy-duty-zero-emission-vehicle-action-plan/)
website.
, Laws and Regulations, 43.0, ELEC|HY|PHEV, AIRQEMISSIONS, OTHER, enacted"
2020,Rhode Island,"Medium- and Heavy-Duty (MHD) Zero Emission Vehicle (ZEV) Deployment Support, California, Colorado, Connecticut, District of Columbia, Hawaii, Maine,
Maryland, Massachusetts, Nevada, New Jersey, New York, North Carolina,
Oregon, Pennsylvania, Rhode Island, Vermont, Virginia, and Washington
(signatory states) signed a [memorandum of
understanding](https://www.nescaum.org/documents/mhdv-zev-mou-20220329.pdf/)
(MOU) to support the deployment of MHD ZEVs through involvement in a
Multi-State ZEV Task Force (Task Force).

In July 2022, the Task Force published a [multi-state action
plan](https://www.nescaum.org/documents/multi-state-medium-and-heavy-duty-zev-action-plan.pdf)
to support electrification of MHD vehicles. The action plan includes
strategies and recommendations to accomplish the goals of the MOU,
including limiting all new MHD vehicle sales in the signatory states to
ZEVs by 2050, accelerating the deployment of MHD ZEVs, and ensuring MHD
ZEV deployment also benefits disadvantaged communities.

For more information, see the [MHD ZEVs: Action Plan Development
Process](https://www-f.nescaum.org/documents/multi-state-medium-and-heavy-duty-zero-emission-vehicle-action-plan/)
website.
, Laws and Regulations, 34.0, ELEC|HY|PHEV, AIRQEMISSIONS, OTHER, enacted"
2020,Oklahoma,"Oklahoma Commercial Property Assessed Clean Energy (C-PACE) Program Authorization, Counties are authorized to establish C-PACE programs to facilitate loans
between qualifying property owners and private lenders. Loans may be
offered to commercial properties for projects related to alternative
fuel vehicles and associated infrastructure. For more information,
including eligibility requirements, see the [Oklahoma
C-PACE](https://oklahomacpace.org/) website.

(Reference [Oklahoma Statutes 19-460.5](http://www.oklegislature.gov/)), Laws and Regulations, 60.0, ELEC|HY|NG|PHEV|LPG, OTHER, FLEET, http://www.oklegislature.gov/index.aspx|http://www.oklegislature.gov/, enacted"
2020,Ohio,"Public Utility Definition, An entity that provides electric vehicle charging service to the public
is not considered a public utility.

(Reference [Ohio Public Utilities Commission Docket 20-434-EL-COI](https://puco.ohio.gov/home)), Laws and Regulations, 47.0, ELEC|PHEV, UTILITY, STATION|GOV, https://puco.ohio.gov/home, enacted"
,Rhode Island,"Electric Transit Bus Pilot and Replacement Program, The Rhode Island Public Transit Authority (RIPTA) is responsible for
implementing the [RIPTA Zero Emissions Vehicle
Program](https://www.ripta.com/electric-bus/) to evaluate electric
transit buses to replace retired diesel buses. This program is part of
Rhode Island's [Beneficiary Mitigation
Plan](http://www.dem.ri.gov/programs/air/documents/vwmitplanf.pdf) and
is funded by Rhode Island's portion of the [Volkswagen Environmental
Mitigation
Trust](https://www.epa.gov/enforcement/volkswagen-clean-air-act-civil-settlement).
For more information see the Rhode Island Department of Environmental
Management [Volkswagen
Settlement](http://www.dem.ri.gov/programs/air/vwsettle.php) website.
, Laws and Regulations, 11.0, ELEC, REQ, GOV|TRANS"
2021,South Dakota,"Electric Vehicle (EV) Fee, EV owners must pay an annual fee of \$50, in addition to standard
vehicle registration fees.

(Reference [South Dakota Statutes 32-5-188](https://sdlegislature.gov/Statutes/Codified_Laws)), Laws and Regulations, 28.0, ELEC|PHEV, EVFEE|FUEL, IND, https://sdlegislature.gov/Session/Bills/44|https://sdlegislature.gov/Statutes/Codified_Laws, enacted"
,Rhode Island,"Climate Change Action Plan, The Rhode Island Executive Climate Change Coordinating Council must
develop a plan for an equitable transition to net zero greenhouse gas
(GHG) emissions by 2050. The plan must include environmental justice
considerations and strategies to reduce GHG emissions in the
transportation sector. The plan must be submitted to the governor and
general assembly no later than December 31, 2025, and every 5 years
thereafter.

(Reference [Rhode Island General Laws 42-6.2-2](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 9.0, OTHER, CCEINIT, OTHER, http://www.rilin.state.ri.us/pages/legislation.aspx|http://webserver.rilin.state.ri.us/Statutes/"
2021,Oregon,"Electric Vehicle (EV) Rebate, The Charge Ahead Rebate Program offers low- and medium-income Oregon
residents a rebate of up to \$5,000 for new or pre-owned EVs purchased
between April 3, 2024, and June 4, 2024, including plug-in hybrid
electric vehicles. Residents who purchased a new EV may combine this
rebate with the [Clean Vehicle
Rebate](https://afdc.energy.gov/laws/12139) to receive a maximum rebate
of \$7,500. Qualifying residents are considered households with income
levels that do not exceed 400% of the federal poverty line. For more
information, see the [Charge Ahead Rebate
Program](https://www.oregon.gov/deq/aq/programs/Pages/Charge-Ahead-Rebate.aspx)
website.

(Reference [Oregon Revised Statutes 468.442 and 468.446](https://www.oregonlegislature.gov/)), State Incentives, 5.0, ELEC|PHEV, RBATE, IND, https://olis.oregonlegislature.gov/|https://www.oregonlegislature.gov/, enacted"
,Rhode Island,"Public Utility Definition, A company that provides alternative fuel or energy sources for use as a
motor vehicle fuel or energy source is not defined as a public utility.

(Reference [Rhode Island General Laws 39-1-2](http://webserver.rilin.state.ri.us/Statutes/)), Laws and Regulations, 55.0, ELEC|PHEV, UTILITY, STATION|AFP, http://webserver.rilin.state.ri.us/Statutes/"
2021,Oklahoma,"Electric Vehicle (EV) Charger Tax Exemption, Public EV chargers with a charging capacity of less than 50 kilowatts
are exempt from the \$0.03 per kilowatt-hour tax on electricity used to
recharge EVs.

(Reference [Oklahoma Statutes 68-6504](http://www.oklegislature.gov/)), State Incentives, 25.0, ELEC|PHEV, EXEM, STATION, http://www.oklegislature.gov/|http://www.oklegislature.gov/|http://www.oklegislature.gov/, enacted"
2021,Oklahoma,"Electric Vehicle (EV) Charger Tax, Public EV chargers are subject to a tax of \$0.03 per kilowatt-hour. The
tax does not apply to EV chargers at private residences. Tax revenue
will be apportioned to the Driving on Road Infrastructure with Vehicles
of Electricity (DRIVE) Revolving Fund.

(Reference [Oklahoma Statutes 68-6501 through 68-6510](http://www.oklegislature.gov)), Laws and Regulations, 10.0, ELEC|PHEV, FUEL, STATION|FLEET|GOV|MUD|IND, http://www.oklegislature.gov|http://www.oklegislature.gov, enacted"
